# Real prosumer PV generation + load, 30-second resolution.
#
# Source: Venizelou et al. (2023). Photovoltaic Generation and Load Demand
#   Datasets with 30 seconds resolution from an Actual Prosumer in Cyprus
#   [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.8348862
# License: Creative Commons Attribution 4.0 International (CC BY 4.0).
#
# Excerpt: a 7-hour midday window (2022-09-01 09:00-16:00) of the 'Ppv'
#   (PV) and 'Pload' channels. A partly-cloudy day: strong PV with frequent
#   cloud-driven dips (far richer than a synthetic half-sine). The eval
#   scales both columns to a balcony-system size. See traces/README.md.
#
# columns: t_s (seconds from window start), load_w, pv_w
t_s,load_w,pv_w
8370,764,3260
8400,769,3278
8430,759,3289
8460,752,3297
8490,742,3302
8520,767,3297
8550,780,3299
8580,767,3298
8610,795,3309
8640,783,3322
8670,789,3334
8700,809,3337
8730,799,3336
8760,685,3331
8790,681,3337
8820,671,3350
8850,675,3363
8880,674,3362
8910,662,3348
8940,660,3346
8970,669,3353
9000,673,3355
9030,675,3357
9060,690,3350
9090,664,3356
9120,682,3356
9150,678,3351
9180,688,3341
9210,682,3340
9240,700,3350
9270,681,3352
9300,692,3358
9330,817,3355
9360,799,3353
9390,816,3356
9420,794,3370
9450,815,3370
9480,801,3365
9510,792,3354
9540,794,3360
9570,786,3363
9600,766,3369
9630,781,3375
9660,767,3373
9690,772,3388
9720,774,3387
9750,783,3388
9780,810,3386
9810,802,3387
9840,795,3377
9870,804,3376
9900,803,3380
9930,800,3376
9960,815,3379
9990,798,3386
10020,691,3400
10050,696,3411
10080,673,3412
10110,660,3418
10140,675,3439
10170,670,3444
10200,677,3435
10230,679,3447
10260,684,3460
10290,685,3461
10320,685,3463
10350,632,3474
10380,688,3468
10410,704,3474
10440,679,3473
10470,701,3472
10500,674,3469
10530,694,3471
10560,801,3463
10590,781,3460
10620,791,3474
10650,779,3456
10680,780,3471
10710,791,3493
10740,779,3480
10770,713,3464
10800,724,3471
10830,730,3476
10860,737,3472
10890,744,3463
10920,722,3464
10950,726,3471
10980,760,3477
11010,745,3462
11040,758,3468
11070,776,3466
11100,784,3462
11130,763,3458
11160,785,3464
11190,925,3476
11220,952,3478
11250,934,3472
11280,927,3479
11310,802,3487
11340,792,3481
11370,815,3494
11400,647,3488
11430,623,3485
11460,634,3494
11490,652,3478
11520,636,3471
11550,642,3481
11580,637,3472
11610,635,3461
11640,639,3473
11670,636,3478
11700,622,3471
11730,616,3470
11760,611,3468
11790,615,3468
11820,616,3478
11850,741,3469
11880,729,3468
11910,745,3478
11940,741,3471
11970,719,3465
12000,720,3480
12030,728,3482
12060,739,3485
12090,717,3495
12120,736,3494
12150,724,3498
12180,751,3495
12210,742,3488
12240,730,3491
12270,762,3502
12300,770,3501
12330,766,3506
12360,775,3515
12390,748,3501
12420,744,3500
12450,764,3498
12480,752,3490
12510,744,3514
12540,769,3528
12570,751,3527
12600,767,3530
12630,749,3534
12660,748,3532
12690,644,3533
12720,645,3550
12750,639,3557
12780,635,3562
12810,653,3589
12840,621,3585
12870,626,3603
12900,641,3622
12930,641,3647
12960,638,3658
12990,646,3693
13020,680,3542
13050,613,3154
13080,604,2961
13110,681,3915
13140,672,3612
